SKU,Vintage,Producer,Vineyard,Designation,Color,Region,Varietal,Intensity,Age,Fruit 1,Fruit 2,Fruit 3,Fruit Character,Non Fruit 1,Non Fruit 2,Non Fruit 3,Non Fruit 4,Earth,Mineral,Wood Character,Tannin,Acid,Alcohol,Body,Texture
129930,2016,Point Ormond,,Grampians,Red,Australia,Shiraz,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
3059,2012,Rosemount Estate,,Diamond Label,Red,Australia,Merlot,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
144315,2017,Some Young Punks,<none>,Quickie,White,Australia,Sauvignon Blanc,Medium Plus,Youthful,,,,,,,,,,,,N/A,Medium Plus,Medium Plus,Full,Round
23005,2014,Two Hands,,Ares,Red,Australia,Syrah,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
22471,2015,Two Hands,,Holy Grain,Red,Australia,Syrah,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
19421,NV,Yellowtail,,,White,Australia,Chardonnay,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
22963,NV,Yellowtail,,,Red,Australia,Syrah,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
134074,2017,Brundlmayer,,Kamptaler Terrassen,White,Austria,Gruner Veltliner,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
135145,2016,Brundlmayer,Terrassen,Kamptaler Terrassen,White,Austria,Riesling,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
144724,2017,Eschenhof Holzer,,,White,Austria,Gruner Veltliner,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
80133,2016,Forstreiter,,Grooner,White,Austria,Gruner Veltliner,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
131660,2017,Fuhrgassl-Huber,,,White,Austria,,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
141141,2016,FX Pichler,Loibnerberg,Loibenberg,White,Austria,Riesling,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
143450,2016,G. Markowitsch,,Rubin Carnuntum,Red,Austria,Zweigelt,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Medium,Lean
142339,2016,Hirtzberger,Donaugarten Steinfeder,Donaugarten,White,Austria,Gruner Veltliner,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
140761,2013,Knoll,<none>,,White,Austria,Riesling,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
81568,2017,Sattler,<none>,,Red,Austria,St. Laurent,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Medium,Lean
125109,2017,Sax,<none>,Zwillingslauser,White,Austria,Gruner Veltliner,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
107793,2016,Schloss Gobelsburg,Gaisberg,Gaisberg,White,Austria,Riesling,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
141184,2017,Schmelz,Schmelz,Ried Klaus,White,Austria,Gruner Veltliner,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
143635,2014,Uwe Schiefer,,Konigsberg,Red,Austria,Blaufrankisch,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Medium,Lean
145146,2018,Von Kisel,,,White,Austria,Gruner Veltliner,Medium Plus,Youthful,,,,,,,,,,,,N/A,High,Medium,Medium,Lean
53055,2000,Abreu,Thorevilos,Thorevilos,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium Plus,Developing,Plum,Cassis,Blackberry,Ripe,Spice,Chocolate,Graphite,Herbal,Soil,Gravel,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
82018,2004,Abreu,Madrona Ranch,Madrona Ranch,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium Plus,Youthful,Plum,Cassis,Blackberry,Ripe,Spice,Chocolate,Graphite,Herbal,,Gravel,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
122597,2005,Abreu,Madrona Ranch,Madrona Ranch,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium Plus,Youthful,Plum,Cassis,Blackberry,Ripe,Spice,Chocolate,Graphite,Herbal,,Gravel,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
104047,2007,Abreu,Cappella,Cappella,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium Plus,Youthful,Plum,Cassis,Blackberry,Ripe,Spice,Chocolate,Meat,Herbal,,Gravel,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
137019,2008,Abreu,Cappella,Cappella,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium Plus,Youthful,Plum,Cassis,Blackberry,Ripe,Spice,Chocolate,Meat,Herbal,,Gravel,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
136985,2013,Abreu,Madrona Ranch,Madrona Ranch,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium Plus,Youthful,Plum,Cassis,Blackberry,Ripe,Spice,Chocolate,Graphite,Herbal,,Gravel,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
134645,2014,Anakota,Helena Montana,Helena Montana Vineyard,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
20010,1997,Araujo Estate,Eisele Vineyard,Eisele Vineyard,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium Plus,Developing,Plum,Cassis,Blackberry,Ripe,Spice,Chocolate,Graphite,Herbal,Soil,Gravel,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
142399,2000,Araujo Estate,Eisele Vineyard,Eisele Vineyard,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium Plus,Developing,Plum,Cassis,Blackberry,Ripe,Spice,Chocolate,Graphite,Herbal,Soil,Gravel,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
142402,2002,Araujo Estate,,Eisele Vineyard,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium Plus,Youthful,Plum,Cassis,Blackberry,Ripe,Spice,Chocolate,Graphite,Herbal,,Gravel,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
142400,2009,Araujo Estate,Eisele Vineyard,Eisele Vineyard,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium Plus,Youthful,Plum,Cassis,Blackberry,Ripe,Spice,Chocolate,Graphite,Herbal,,Gravel,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
123172,2012,Araujo Estate,Eisele Vineyard,Eisele Vineyard,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium Plus,Youthful,Plum,Cassis,Blackberry,Ripe,Spice,Chocolate,Graphite,Herbal,,Gravel,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
142917,1968,B.V.,,,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium,Mature,,,,,,,,,,,,Medium,Medium,Medium,Medium Plus,Round
120908,1960,B.V.,,Georges de Latour,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium,Mature,,,,,,,,,,,,Medium,Medium,Medium,Medium Plus,Round
139209,1968,B.V.,,Georges de Latour,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium,Mature,,,,,,,,,,,,Medium,Medium,Medium,Medium Plus,Round
138571,2017,Bacchus,,,Red,California Cabernets & Meritage,Cabernet Sauvignon,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
136989,1998,Bacio Divino,,,Red,California Cabernets & Meritage,Cabernet Sauvignon Based Blend,Medium Plus,Developing,Plum,Cassis,Blackberry,Ripe,Spice,Chocolate,Graphite,Herbal,Soil,Gravel,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
136988,2001,Bacio Divino,,,Red,California Cabernets & Meritage,Cabernet Sauvignon Based Blend,Medium Plus,Youthful,Plum,Cassis,Blackberry,Ripe,Spice,Chocolate,Graphite,Herbal,Soil,Gravel,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
